epoch,loss,lr,val_cm,train_cm,test_cm,val_accuracy,test_accuracy
0,nan,0.0001,"[[897   0]
 [841   0]]","[[0 0]
 [0 0]]","[[683   0]
 [683   0]]",51.611047180667434,50.0
1,0.5015414510853587,9.5e-05,"[[848  49]
 [ 65 776]]","[[1448  550]
 [ 504 1552]]","[[634  49]
 [ 62 621]]",93.44073647871116,91.8740849194729
2,0.2667640274157748,9.025e-05,"[[868  29]
 [ 16 825]]","[[1764  234]
 [ 223 1833]]","[[665  18]
 [ 24 659]]",97.4108170310702,96.92532942898976
3,0.188972823205404,8.573749999999999e-05,"[[846  51]
 [ 10 831]]","[[1839  159]
 [ 145 1911]]","[[644  39]
 [  5 678]]",96.49021864211737,96.77891654465593
4,0.1834423394757323,8.145062499999998e-05,"[[853  44]
 [ 15 826]]","[[1838  160]
 [ 150 1906]]","[[659  24]
 [  4 679]]",96.60529344073647,97.9502196193265
5,0.16150112653849646,7.737809374999998e-05,"[[894   3]
 [ 21 820]]","[[1843  155]
 [ 146 1910]]","[[679   4]
 [ 14 669]]",98.61910241657077,98.68228404099561
6,0.16451843571849173,7.350918906249998e-05,"[[891   6]
 [  8 833]]","[[1838  160]
 [ 127 1929]]","[[677   6]
 [  6 677]]",99.19447640966628,99.12152269399706
7,0.13971428282093262,6.983372960937497e-05,"[[881  16]
 [  1 840]]","[[1873  125]
 [ 108 1948]]","[[663  20]
 [  1 682]]",99.02186421173764,98.46266471449488
8,0.1380394622101448,6.634204312890622e-05,"[[890   7]
 [  3 838]]","[[1866  132]
 [ 120 1936]]","[[674   9]
 [ 15 668]]",99.42462600690449,98.24304538799414
9,0.12373070418834684,6.30249409724609e-05,"[[895   2]
 [  1 840]]","[[1890  108]
 [ 116 1940]]","[[680   3]
 [  1 682]]",99.82738780207134,99.70717423133236
10,0.12230525744962509,5.987369392383786e-05,"[[880  17]
 [  7 834]]","[[1870  128]
 [  96 1960]]","[[673  10]
 [  7 676]]",98.61910241657077,98.75549048316252
11,0.12546762439887973,5.688000922764596e-05,"[[893   4]
 [  1 840]]","[[1891  107]
 [ 109 1947]]","[[676   7]
 [  1 682]]",99.71231300345224,99.41434846266472
12,0.12824288650881496,5.4036008766263664e-05,"[[890   7]
 [  2 839]]","[[1864  134]
 [ 100 1956]]","[[672  11]
 [  2 681]]",99.48216340621404,99.04831625183016
13,0.13256677979370582,5.133420832795048e-05,"[[896   1]
 [  2 839]]","[[1883  115]
 [ 110 1946]]","[[681   2]
 [  4 679]]",99.82738780207134,99.56076134699853
14,0.11142648442182687,4.876749791155295e-05,"[[894   3]
 [  1 840]]","[[1898  100]
 [  92 1964]]","[[680   3]
 [  1 682]]",99.76985040276179,99.70717423133236
15,0.10814959555864334,4.6329123015975305e-05,"[[893   4]
 [  1 840]]","[[1897  101]
 [  90 1966]]","[[681   2]
 [  1 682]]",99.71231300345224,99.78038067349927
16,0.1004556502448395,4.4012666865176535e-05,"[[890   7]
 [  1 840]]","[[1895  103]
 [  66 1990]]","[[680   3]
 [  2 681]]",99.5397008055236,99.63396778916545
17,0.09648259339155632,4.181203352191771e-05,"[[896   1]
 [ 11 830]]","[[1917   81]
 [  85 1971]]","[[683   0]
 [  7 676]]",99.30955120828538,99.48755490483163
18,0.10052637824264825,3.972143184582182e-05,"[[895   2]
 [  2 839]]","[[1912   86]
 [ 106 1950]]","[[681   2]
 [  6 677]]",99.76985040276179,99.41434846266472
19,0.10324667670647612,3.7735360253530726e-05,"[[896   1]
 [  2 839]]","[[1903   95]
 [  90 1966]]","[[682   1]
 [  1 682]]",99.82738780207134,99.85358711566617
20,0.1001205348875374,3.584859224085419e-05,"[[895   2]
 [  2 839]]","[[1908   90]
 [  89 1967]]","[[680   3]
 [  4 679]]",99.76985040276179,99.48755490483163
21,0.09812782029621306,3.405616262881148e-05,"[[893   4]
 [  1 840]]","[[1921   77]
 [ 102 1954]]","[[678   5]
 [  0 683]]",99.71231300345224,99.63396778916545
22,0.09357918848400004,3.2353354497370904e-05,"[[893   4]
 [  6 835]]","[[1905   93]
 [  72 1984]]","[[682   1]
 [  4 679]]",99.42462600690449,99.63396778916545
23,0.0810190983756911,3.0735686772502355e-05,"[[894   3]
 [  0 841]]","[[1911   87]
 [  70 1986]]","[[680   3]
 [  0 683]]",99.82738780207134,99.78038067349927
24,0.10121133207576348,2.9198902433877236e-05,"[[890   7]
 [  0 841]]","[[1913   85]
 [  88 1968]]","[[682   1]
 [  1 682]]",99.59723820483315,99.85358711566617
25,0.09270954347448421,2.7738957312183373e-05,"[[893   4]
 [  0 841]]","[[1897  101]
 [  64 1992]]","[[676   7]
 [  1 682]]",99.76985040276179,99.41434846266472
26,0.0876307753060246,2.6352009446574204e-05,"[[894   3]
 [  0 841]]","[[1908   90]
 [  66 1990]]","[[679   4]
 [  1 682]]",99.82738780207134,99.63396778916545
27,0.10550797623000108,2.5034408974245492e-05,"[[897   0]
 [  2 839]]","[[1894  104]
 [ 100 1956]]","[[682   1]
 [  3 680]]",99.8849252013809,99.70717423133236
28,0.10375363205093892,2.3782688525533216e-05,"[[895   2]
 [  6 835]]","[[1906   92]
 [  93 1963]]","[[682   1]
 [  5 678]]",99.5397008055236,99.56076134699853
29,0.08324594618170524,2.2593554099256555e-05,"[[894   3]
 [  0 841]]","[[1915   83]
 [  68 1988]]","[[683   0]
 [  4 679]]",99.82738780207134,99.70717423133236
30,0.09170375292887913,2.1463876394293726e-05,"[[892   5]
 [  0 841]]","[[1932   66]
 [  99 1957]]","[[679   4]
 [  1 682]]",99.71231300345224,99.63396778916545
31,0.08814138890011236,2.039068257457904e-05,"[[894   3]
 [  0 841]]","[[1909   89]
 [  65 1991]]","[[683   0]
 [  2 681]]",99.82738780207134,99.85358711566617
32,0.09937971661565824,1.9371148445850086e-05,"[[896   1]
 [  0 841]]","[[1902   96]
 [  76 1980]]","[[682   1]
 [  1 682]]",99.94246260069045,99.85358711566617
33,0.0804958367953077,1.840259102355758e-05,"[[896   1]
 [  7 834]]","[[1929   69]
 [  79 1977]]","[[683   0]
 [  7 676]]",99.5397008055236,99.48755490483163
34,0.0968099233286921,1.74824614723797e-05,"[[890   7]
 [  2 839]]","[[1916   82]
 [  78 1978]]","[[677   6]
 [  0 683]]",99.48216340621404,99.56076134699853
35,0.09681089490186419,1.6608338398760715e-05,"[[895   2]
 [  1 840]]","[[1895  103]
 [  90 1966]]","[[682   1]
 [  4 679]]",99.82738780207134,99.63396778916545
36,0.09174782680929638,1.5777921478822678e-05,"[[896   1]
 [  3 838]]","[[1910   88]
 [  70 1986]]","[[682   1]
 [  2 681]]",99.76985040276179,99.78038067349927
37,0.08325124632392544,1.4989025404881544e-05,"[[894   3]
 [  5 836]]","[[1909   89]
 [  58 1998]]","[[678   5]
 [  4 679]]",99.5397008055236,99.3411420204978
38,0.0756632990378421,1.4239574134637466e-05,"[[896   1]
 [  2 839]]","[[1925   73]
 [  59 1997]]","[[683   0]
 [  5 678]]",99.82738780207134,99.63396778916545
39,0.08088349367608315,1.3527595427905592e-05,"[[893   4]
 [  1 840]]","[[1919   79]
 [  75 1981]]","[[680   3]
 [  0 683]]",99.71231300345224,99.78038067349927
40,0.08177564979996535,1.2851215656510312e-05,"[[895   2]
 [  7 834]]","[[1914   84]
 [  53 2003]]","[[679   4]
 [  7 676]]",99.48216340621404,99.19472913616399
41,0.09691140049835667,1.2208654873684796e-05,"[[896   1]
 [ 11 830]]","[[1904   94]
 [  74 1982]]","[[682   1]
 [ 16 667]]",99.30955120828538,98.75549048316252
42,0.08676369306340348,1.1598222130000555e-05,"[[895   2]
 [  0 841]]","[[1915   83]
 [  72 1984]]","[[683   0]
 [  2 681]]",99.8849252013809,99.85358711566617
43,0.09095646711648442,1.1018311023500527e-05,"[[896   1]
 [  2 839]]","[[1915   83]
 [  74 1982]]","[[683   0]
 [  2 681]]",99.82738780207134,99.85358711566617
44,0.0961954980448354,1.04673954723255e-05,"[[897   0]
 [  7 834]]","[[1904   94]
 [  76 1980]]","[[683   0]
 [  8 675]]",99.59723820483315,99.41434846266472
45,0.09149280504789205,9.944025698709225e-06,"[[897   0]
 [  3 838]]","[[1922   76]
 [  87 1969]]","[[683   0]
 [  3 680]]",99.82738780207134,99.78038067349927
46,0.08306001333403401,9.446824413773763e-06,"[[895   2]
 [  7 834]]","[[1913   85]
 [  69 1987]]","[[682   1]
 [  4 679]]",99.48216340621404,99.63396778916545
47,0.07669412458926671,8.974483193085074e-06,"[[896   1]
 [  1 840]]","[[1921   77]
 [  50 2006]]","[[683   0]
 [  2 681]]",99.8849252013809,99.85358711566617
48,0.07680056666140446,8.52575903343082e-06,"[[896   1]
 [  0 841]]","[[1913   85]
 [  63 1993]]","[[682   1]
 [  6 677]]",99.94246260069045,99.48755490483163
49,0.08144014602294192,8.09947108175928e-06,"[[894   3]
 [  1 840]]","[[1925   73]
 [  66 1990]]","[[682   1]
 [  1 682]]",99.76985040276179,99.85358711566617
50,0.08733680160366926,7.694497527671315e-06,"[[895   2]
 [  0 841]]","[[1914   84]
 [  82 1974]]","[[683   0]
 [  2 681]]",99.8849252013809,99.85358711566617
51,0.0826682748265739,7.309772651287749e-06,"[[894   3]
 [  0 841]]","[[1928   70]
 [  67 1989]]","[[675   8]
 [  1 682]]",99.82738780207134,99.3411420204978
52,0.07994950587453789,6.944284018723361e-06,"[[889   8]
 [  1 840]]","[[1914   84]
 [  61 1995]]","[[678   5]
 [  1 682]]",99.48216340621404,99.56076134699853
53,0.08470071866759103,6.597069817787193e-06,"[[894   3]
 [  0 841]]","[[1919   79]
 [  67 1989]]","[[680   3]
 [  1 682]]",99.82738780207134,99.70717423133236
54,0.08212599038961343,6.267216326897833e-06,"[[895   2]
 [  1 840]]","[[1922   76]
 [  62 1994]]","[[682   1]
 [  4 679]]",99.82738780207134,99.63396778916545
55,0.0836721180094173,5.953855510552941e-06,"[[896   1]
 [  5 836]]","[[1925   73]
 [  73 1983]]","[[683   0]
 [ 10 673]]",99.6547756041427,99.26793557833089
56,0.08590837189694867,5.6561627350252934e-06,"[[895   2]
 [  0 841]]","[[1899   99]
 [  64 1992]]","[[683   0]
 [  1 682]]",99.8849252013809,99.9267935578331
57,0.08749294703011402,5.373354598274029e-06,"[[896   1]
 [  6 835]]","[[1922   76]
 [  74 1982]]","[[683   0]
 [  5 678]]",99.59723820483315,99.63396778916545
58,0.0798869994323468,5.104686868360327e-06,"[[895   2]
 [  2 839]]","[[1916   82]
 [  60 1996]]","[[680   3]
 [  3 680]]",99.76985040276179,99.56076134699853
59,0.08212353513226844,4.84945252494231e-06,"[[894   3]
 [  5 836]]","[[1920   78]
 [  72 1984]]","[[682   1]
 [  6 677]]",99.5397008055236,99.48755490483163
60,0.08281388238538058,4.6069798986951945e-06,"[[895   2]
 [  0 841]]","[[1916   82]
 [  77 1979]]","[[680   3]
 [  2 681]]",99.8849252013809,99.63396778916545
